Id,Title,CategoryId
1,XS,7
2,S,7
3,M,7
4,L,7
5,XL,7
6,2XL,7
7,3XL,7
8,4XL,7
9,5XL,7
10,XS,10
11,S,10
12,M,10
13,L,10
14,XL,10
15,2XL,10
16,3XL,10
17,4XL,10
18,5XL,10
19,XS,22
20,S,22
21,M,22
22,L,22
23,XL,22
24,2XL,22
25,3XL,22
26,4XL,22
27,5XL,22
28,2,13
29,3,13
30,4,13
31,5,13
32,6,13
33,7,13
34,8,13
35,9,13
36,10,13
37,11,13
38,12,13
39,13,13
40,14,13
41,15,13
42,2,16
43,3,16
44,4,16
45,5,16
46,6,16
47,7,16
48,8,16
49,9,16
50,10,16
51,11,16
52,12,16
53,13,16
54,14,16
55,15,16
56,0,19
57,1,19
58,2,19
59,3,19
60,4,19
61,5,19
62,6,19
63,7,19
64,8,19
65,9,19
66,10,19
67,11,19
68,12,19
69,13,19
70,14,19
71,15,19
72,32,7
73,34,7
74,36,7
75,38,7
76,40,7
77,42,7
78,44,7
79,46,7
80,48,7
81,50,7
82,52,7
83,54,7
84,56,7
85,58,7
86,60,7
87,32,10
88,34,10
89,36,10
90,38,10
91,40,10
92,42,10
93,44,10
94,46,10
95,48,10
96,50,10
97,52,10
98,54,10
99,56,10
100,58,10
101,60,10
102,32,22
103,34,22
104,36,22
105,38,22
106,40,22
107,42,22
108,44,22
109,46,22
110,48,22
111,50,22
112,52,22
113,54,22
114,56,22
115,58,22
116,60,22
117,35,8
118,36,8
119,37,8
120,38,8
121,39,8
122,40,8
123,41,8
124,42,8
125,39,11
126,40,11
127,41,11
128,42,11
129,43,11
130,44,11
131,45,11
132,46,11
133,47,11
134,48,11
135,49,11
136,50,11
137,51,11
138,16,20
139,17,20
140,18,20
141,19,20
142,20,20
143,21,20
144,22,20
145,23,20
146,24,20
147,25,20
148,26,20
149,27,20
150,28,20
151,29,20
152,30,20
153,31,20
154,32,20
155,33,20
156,34,20
157,35,20
158,22,14
159,23,14
160,24,14
161,25,14
162,26,14
163,27,14
164,28,14
165,29,14
166,30,14
167,31,14
168,32,14
169,33,14
170,34,14
171,35,14
172,22,17
173,23,17
174,24,17
175,25,17
176,26,17
177,27,17
178,28,17
179,29,17
180,30,17
181,31,17
182,32,17
183,33,17
184,34,17
185,35,17
186,16,23
187,17,23
188,18,23
189,19,23
190,20,23
191,21,23
192,22,23
193,23,23
194,24,23
195,25,23
196,26,23
197,27,23
198,28,23
199,29,23
200,30,23
201,31,23
202,32,23
203,33,23
204,34,23
205,35,23
206,36,23
207,37,23
208,38,23
209,39,23
210,40,23
211,41,23
212,42,23
213,43,23
214,44,23
215,45,23
216,46,23
217,47,23
218,48,23
219,49,23
220,50,23
221,51,23
222,فری,7
223,فری,10
224,فری,13
225,فری,16
226,فری,19
227,فری,22
228,65B,232
229,70B,232
230,75B,232
231,80B,232
232,85B,232
233,90B,232
234,95B,232
235,100B,232
236,105B,232
237,65C,232
238,70C,232
239,75C,232
240,80C,232
241,85C,232
242,90C,232
243,95C,232
244,100C,232
245,105C,232
246,65D,232
247,70D,232
248,75D,232
249,80D,232
250,85D,232
251,90D,232
252,95D,232
253,100D,232
254,105D,232
255,65E,232
256,70E,232
257,75E,232
258,80E,232
259,85E,232
260,90E,232
261,95E,232
262,100E,232
263,105E,232
264,65F,232
265,70F,232
266,75F,232
267,80F,232
268,85F,232
269,90F,232
270,95F,232
271,100F,232
272,105F,232
273,65,232
274,70,232
275,75,232
276,80,232
277,85,232
278,90,232
279,95,232
280,100,232
281,105,232
